Label,Collected Date,pH,TKP (mg P/L),TKN (mg N/L),16S,mcyA.M,mcyA.A,mcyA.P,year
6-21300002,2018-06-27 07:58:00,8.31,1.306,0.399,5130000,31900,0,0,2018
12-21300001,2018-08-08 10:35:00,8.07,0.741,-0.151,14500000,90200,0,0,2018
13-21350001,2018-08-15 10:30:00,7.7,1.065,0.438,14100000,48600,0,0,2018
1-21280001,2018-05-22 11:19:00,8.1,1.609,0.66,147000,0,0,0,2018
2-21150001,2018-05-29 13:00:00,8.3,1.249,0.388,1490000,6300,0,0,2018
14-21300004,2018-08-20 16:00:00,8.3,1.091,0.154,9570000,37000,0,0,2018
12-21390001,2018-08-07 13:35:00,8.87,0.79,-0.244,4790000,7490,0,0,2018
3-21130001,2018-06-05 08:45:00,8.2,1.334,0.699,2080000,5510,0,0,2018
12-21420001,2018-08-08 09:00:00,8.4,0.873,0.309,10900000,25200,0,0,2018
2-21520001,2018-05-29 13:50:00,9.15,1.275,0.465,624000,7160,0,0,2018
15-21260001,2018-08-27 08:30:00,8.6,1.119,-0.155,0,0,0,0,2018
12-21300003,2018-08-08 10:00:00,8.7,0.72,-0.215,13900000,82100,0,0,2018
10-21520001,2018-07-24 14:30:00,8.03,0.02,0.133,2420000,0,0,0,2018
1-21130002,2018-05-22 09:50:00,8.4,1.333,0.688,791000,1620,0,0,2018
1-21620001,2018-05-23 13:40:00,8.8,1.188,0.53,2010000,2560,0,0,2018
11-21780001,2018-07-31 07:55:00,8.79,0.123,0.221,9520000,10500,0,0,2018
1-21040001,2018-05-23 09:50:00,8.3,1.25,0.49,1580000,1800,0,0,2018
6-21270001,2018-06-27 12:45:00,8.5,1.215,0.261,6900000,0,0,0,2018
6-21040001,2018-06-27 10:00:00,8.3,1.133,0.285,9920000,10900,0,0,2018
6-21670001,2018-06-26 10:30:00,8.3,1.082,0.388,3060000,503,0,0,2018
4-21130001,2018-06-12 09:15:00,8.3,1.134,0.779,2090000,14700,0,0,2018
10-21300004,2018-07-25 10:40:00,8.1,-0.057,0.201,7380000,12600,0,0,2018
